short_descriptions,assignment_groups
O365 Mailbox Client Issue  Unable to access outlook subfolders after win 10 upgrade,SD_1stL_SD-UC_NSN_ENG_PH
DP issue Failures for AMER5a  BS amrdrml059 GP 0300Start CT ovm3zone02 NO BACKUP,GBL-WTI-AHS UNIX L1
MelanieTrippCWotsukauscom FW CORRECTION  2 New CWs onboarding,Service Desk - GAM
HSSE01GDPR Need to remove nehabijalwannokiacom ID from Consolidated Case report,SD_1stL_SD-UC_NSN_ENG_PH
FW CREDO Password Reset  INC0362828,Service Desk - Non Sales
iTRAC application authentication failing,SD_1stL_SD-UC_NSN_ENG_PH
Request  RITM2519741IncorrectIncomplete fulfillment of Service Request,SD_1stL_SD-UC_NSN_ENG_PH
PL  New role for the user,G SNOW PL SERVICE DESK
Email Service SSL Certificate Renewal ,G SNOW EXT ATOS IS MAILING ADMINS
TC Webex training center  Report is not providing results,SD_1stL_SD-UC_NSN_ENG_PH
cannot access shared S drive,Service Desk - Non Sales
amrdrms004ldom04pfizercom ProcessThe cron Process has Stopped  Escalate ASAP Guest LDOM,GBL-WTI-AHS UNIX L1
PL  COIN access,G SNOW PL SERVICE DESK
Please create airwatch account for Billy Stone  BillyStonecchelleniccom to group ATHCSC000101,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Please grant user access to Baltic system,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
user cant login to laptop  domain isnt available,Service Desk - Non Sales
Internet Connectivity Issues,Deskside Carnegie
Wrong Credentials  Cares,SD_1stL_SD-UC_NSN_ENG_PH
Bitlocker Bitlocker Reset Failed,SD_1stL_SD-UC_NSN_ENG_PH
Change Bank Account,SD_1stL_SD-UC_NSN_ENG_PH
Please help us check the Shopping Cart  1003233967 amount which seems to be incorrect as the Shopping cart  1003233967 amount is 523425 USD in SRM,SD_UC_CoCare_NSN_GL
Password reset cant get into system ,Service Desk - Non Sales
SOFTWARE  Win10 FMO   Software Center Installation Issue,SD_1stL_SD-UC_NSN_ENG_PH
puuemasecvaemeapfizercom Down Intel,GBL-WTI-AHS WINTEL L1
PL  Assign Access  Urgent,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
my access to supplychain profit centre h,PZC-FJ-ServiceDesk
Memory Utilisation on server AMRNDHS214  no data,GBL-WTI-AHS UNIX L1
VPN  User asking assistance to connect using Cisco AnyConnect,SD_1stL_SD-UC_NSN_ENG_PH
Error when recording HCP call,Service Desk - Sales All
Grant Access ME35K to user Rock Sun,PZC-FJ-ServiceDesk
amrdrmw096amerpfizercom Down Intel,GBL-WTI-AHS WINTEL L1
FW Request for Microsoft Office Visio,Service Desk - Non Sales
Otsuka Vine on iPad,Service Desk - Non Sales
assign roles to Ivelina Georgieva,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
eLearn not working on iPad,Service Desk - Non Sales
Agent had the user confirm that the Orion app is closed,Service Desk - Non Sales
Reminder 1 APO SCR ACCESS SAPAPOSDP94,PZC-FJ-ServiceDesk
SmartFit Offer  Nokia Demo Room,I-Buy Process Support
Jabber other  Cannot start a new session due to a certificate problem  Contact your administrator,SD_1stL_SD-UC_NSN_ENG_PH
Update February data ,G SNOW RU SERVICE DESK
SAP Developer Key,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Please change the status of the invoice ID   IR190182414530  paying failed to paying as this was paid with reference no 7580000484,I-Buy Process Support
emaedcs077pfizercom Down Solaris Zone Host,GBL-WTI-AHS UNIX L1
user wants to scan from iPad,Service Desk - Non Sales
Update to Outlook DL,Service Desk - GAM
CARES Request privilege to view and make change to ARs,SD_1stL_SD-UC_NSN_ENG_PH
Support Portal account status checking,SD_UC_CoCare_NSN_GL
Veeva wont sync after facial recognition,Service Desk - Non Sales
Add User to Docker Group,GBL-WTI-AHS UNIX L1
aspdlnw007apacpfizercom MultipleDeviceDown Intel,GBL-WTI-AHS WINTEL L1
move user account,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
GR  new Certificate request,G SNOW GR SERVICE DESK
amrsoml508pfizercomLogMonitorMemory Errors Escalate and Investigate Issues ASAPunixsyslog PFEUnixMemoryErrors Linux,GBL-WTI-AHS UNIX L1
FW INC0390337 2019 STATE TAX WITHHOLDINGSNO TAXES WERE WITH HELD AT THE STATE LEVEL John Lawrence,Service Desk - Non Sales
coply roles to Q02,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
SP access needed,Service Desk - Non Sales
Teams speakers not working,Service Desk - Non Sales
PTO to be blocked in calendar,Service Desk - Non Sales
veeva login into sandbox,Service Desk - Sales All
HQ990026  Password reset P02,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Laptop audio is not working,SD_1stL_SD-UC_NSN_ENG_PH
EG  VPN  Failed to get configuration from secure gateway Contact your system administrator,SD_1stL_SD-UC_NSN_ENG_PH
Phishing email or not,Service Desk - Non Sales
Unable to login to skype and Citrix,Service Desk - Non Sales
iPad setup  MDM error ,Service Desk - Non Sales
Latency in SAP BPP,SD_UC_CoCare_NSN_GL
RP NSAUNIX Request20190802060843594,GBL-WTI-AHS UNIX L1
Jabber Phone Services  Jabber phone not working,SD_1stL_SD-UC_NSN_ENG_PH
CPU Capacity Issue on fihe3cw001 server,SD_1stL_SD-UC_NSN_ENG_PH
Hardware  laptop battery issue,SD_1stL_SD-UC_NSN_ENG_PH
Slow access to login NDPD,SD_1stL_SD-UC_NSN_ENG_PH
Window screen locked,Service Desk - Non Sales
Orion went back to original login screen  now user cant login,Service Desk - Non Sales
eLearn 2 items not signed off on but completed,Service Desk - Non Sales
Please reset MFA for users account,G SNOW RU SERVICE DESK
GR  Block Sender  Domain,G SNOW EXT ATOS IS MAILING ADMINS
PO5020151697 closed  Please reopen,SD_UC_CoCare_NSN_GL
CY  Assign Roles,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
No access to jiradc,SD_1stL_SD-UC_NSN_ENG_PH
Bitlocker Keeps on prompting for Recovery Key,SD_1stL_SD-UC_NSN_ENG_PH
ServiceNow  Unable to Access,SD_1stL_SD-UC_NSN_ENG_PH
IT  Move ITROMAV1 under server,G SNOW IT SERVICE DESK
Cz  access to shared mailbox,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Sharepoint site not coming up,Service Desk - Non Sales
delete filesattachment in the confluence page request,SD_1stL_SD-UC_NSN_ENG_PH
RE MedDRA Subscription Renewal Otsuka Pharmaceutical Development  Commercialization Inc 2020,Service Desk - Non Sales
CZSK  access to shared mailbox helpdeskczskcchelleniccom to Jana Kebiskova SDQ00509,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Password reset on iPad,Service Desk - Non Sales
Create new flavors,SD_1stL_SD-UC_NSN_ENG_PH
User cant link to ULTIMA tools URLhttpsultimaintnetnokiacomeedbmemberinfoactionupdateExpirevalue12application30657nokiaid62172621id2880002,SD_UC_CoCare_NSN_GL
Inconsistent data in BI  APO DP previously INC2096024 ,PZC-FJ-ServiceDesk
Password reset for email account,Service Desk - GAM
AD access for user BSX01627,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
PDM issue ECO0000095811 cannot be promoted,SD_UC_CoCare_NSN_GL
HR Global Ticketing tool Application Issues,SD_1stL_SD-UC_NSN_ENG_PH
AE  Jabber Mobile  Phone Service Issue,SD_1stL_SD-UC_NSN_ENG_PH
PO 9500003817 stuck in ordering with error No relationship with Supplier,I-Buy Process Support
ENHCR522Add ICC Changes to Standard Change List ,PZC-FJ-ServiceDesk
Deletion of O365 group,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
UserlnazarewiczcelltelcomplGetting error  SSO 41,SD_1stL_SD-UC_NSN_ENG_PH
Creation of generic email address,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
paaumuws00400pfizercom MultipleDeviceDown Intel VM Guest,GBL-WTI-AHS WINTEL L1
Need restart of LIMS server HPDAPA0120,GBL-WTI-AHS WINTEL L1
workday code vhrotsuka ,Service Desk - Non Sales
SSO not working for Success Factors course completion,Service Desk - Non Sales
IT Assign SAP Role for transaction ME53N,G SNOW IT SERVICE DESK
DP issues Three strike Failures   AMER5a  BS amrdrml059 GP 1830Start CT amrndhp005e,GBL-WTI-AHS UNIX L1
IT  Delete account IT004220 from AD,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Access Request to GPV SharePoint Site LSM Modified GSL and Pivot Table,Service Desk - Non Sales
Proactive Outreach Compliance,Service Desk - Non Sales
Incorrect subtype issue in Veeva call ,Service Desk - Sales All
GR  Extend External User,G SNOW GR SERVICE DESK
reset password in Q system for RF119706,G SNOW RU SERVICE DESK
Virtual call cant be sent,Service Desk - Sales All
KIBANA  NKS,SD_1stL_SD-UC_NSN_ENG_PH
SAP ACCESS for RF069805 Svetlana Yuschuk,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Check employee bindings in CTI Manager,G SNOW RU SERVICE DESK
Please grant access to CTI Manager and Verint ,G SNOW RU SERVICE DESK
PL  Adding a new user to the SPC application,G SNOW PL SERVICE DESK
PAC tool access on ipad,Service Desk - Non Sales
cant access email via web mail,SD_1stL_SD-UC_NSN_ENG_PH
TREX linespeed  product update,G SNOW PL SERVICE DESK
Patching Issue PARTIALLY Win2003 523790 Result for NHCAMRAPP001,GBL-WTI-AHS WINTEL L1
Not able to edit categories of a QC report,SD_1stL_SD-UC_NSN_ENG_PH
Need to add pharmacist into territory,Service Desk - Sales All
Add Ownership on a Yammer Group,SD_1stL_SD-UC_NSN_ENG_PH
SOFTWARE FMO Win10 Reimage Laptop issue,SD_1stL_SD-UC_NSN_ENG_PH
Currency Conversion issue ,I-Buy Process Support
CZ    change owner of the shared mailbox jedemevtomspolecnecchelleniccom ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Jabber SSO  Unable to Login on Mobile,SD_1stL_SD-UC_NSN_ENG_PH
User account locked out Unable to login to the computer,Deskside Carnegie
Unable to join Zoom meetings,Service Desk - Non Sales
GR  Reserve IP,G SNOW GR SERVICE DESK
Access to the serve where I have my working files,SD_1stL_SD-UC_NSN_ENG_PH
CCR Monitoring  Purchase orders are not Active in IMNGA1,PZC-FJ-ServiceDesk
Plant specific material status as Z7 for products in GB10,PZC-FJ-ServiceDesk
GPMABPP BIG job did not start today at noon,SD_UC_CoCare_NSN_GL
Invalid column for sCRM Opportunity,SD_1stL_SD-UC_NSN_ENG_PH
PR15701  Attention required,I-Buy Process Support
CZ  MODIFY XTEL USER PROFILE MARIA KOLAROVSKA,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
emaedcl188pfizercomLogMonitorMemory Errors Escalate and Investigate Issues ASAPunixsyslog PFEUnixMemoryErrors Linux,GBL-WTI-AHS UNIX L1
genearl login issue  replication ,Service Desk - Non Sales
Reset password and unlock account on SAP on behalf of David Hart,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
CZ Reset user 2FA,G SNOW EXT ATOS IS MAILING ADMINS
Account disabled  SaucedaCW Tony 19926,Service Desk - Non Sales
wolfgangdenknokiacom to be assigned to the user group WDM,I-Buy Process Support
SAP New User for Promax,PZC-FJ-ServiceDesk
istemacls02bemeapfizercom cpqClusterNode Intel,GBL-WTI-AHS WINTEL L1
MAINTAIN VAT RATE OF 125 IN SAP,PZC-FJ-ServiceDesk
Bitlocker User encounters bitlocker screen multiple times,SD_1stL_SD-UC_NSN_ENG_PH
job pending for hours,SD_1stL_SD-UC_NSN_ENG_PH
PV Academy Mailbox,Service Desk - Non Sales
BI reporting access  not working,SD_UC_CoCare_NSN_GL
Request to become member of the SWBuild Group in Ultima,SD_1stL_SD-UC_NSN_ENG_PH
009745499617 STO not flown to ECP NGA1,PZC-FJ-ServiceDesk
Unable to login account disabled ,Service Desk - Non Sales
Unable to use  LXC command on  hzlinb37chinansnnetnet and  EECloud 10181199135 to create container for SCT,SD_UC_CoCare_NSN_GL
Server not accessible  NBWCADP1,GBL-WTI-AHS WINTEL L1
Otsuka connect page link for iPad ,Service Desk - Non Sales
Please create online archive and cleanup dumpster folder,G SNOW EXT ATOS IS MAILING ADMINS
HU  SAP Password reset,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
AlcatelLucent server hosting My SQL is not accessible,SD_1stL_SD-UC_NSN_ENG_PH
iPad setup issue  profile mdmmicrosoft error,Service Desk - Non Sales
SAP Incident  Special chains monitoring BWP  Group 1   08072019,PZC-FJ-ServiceDesk
User access to Planon,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
CCR Monitoring  Order contain faulty items for NGA5 ,PZC-FJ-ServiceDesk
MK Add user MKX07264 to AD group,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
New distribution groups,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Unable to RDP into RMSO5002 server,GBL-WTI-AHS WINTEL L1
One Drive  Request to Restore Deleted Folder,SD_1stL_SD-UC_NSN_ENG_PH
IT  Add ITQ02043 to Airwatch groups,G SNOW IT SERVICE DESK
DP ISSUEFailures for AMER5a  BS amrdrml059 GP 0000Start CT amrndhl1051,GBL-WTI-AHS UNIX L1
IPad printer issue ,Service Desk - Non Sales
users account is blocked,Service Desk - GAM
Nokia contract management role assignment ,I-Buy Process Support
Software center cannot be loaded ,SD_1stL_SD-UC_NSN_ENG_PH
user is getting sync error in veeva,Service Desk - Non Sales
hqsw0052hospiracorp Down Intel VM Guest,GBL-WTI-AHS WINTEL L1
NAMM38SVO  Failed to perform step 1 in Navigate Stage Click on Sign in on page WBSInputFile,SD_1stL_SD-UC_NSN_ENG_PH
T system logon credentials for SCP for OSS note   312615  2020 Dependent Deman,PZC-FJ-ServiceDesk
Hello team the ShC  1003187729 was approved by the cost center manager but it didnt get to the next approver PSSC Please help us correct this issue,SD_UC_CoCare_NSN_GL
SAP SRM issue Please let us know why even though the ShC  1003249738 has been approved,SD_UC_CoCare_NSN_GL
Please re discovery the CI and update us,GBL-WTI-AHS WINTEL L1
Nokia Service Desk,SD_1stL_SD-UC_NSN_ENG_PH
Impossible to merge a review,SD_1stL_SD-UC_NSN_ENG_PH
Database corruption after maintenance break,SD_1stL_SD-UC_NSN_ENG_PH
ENHDelivery Summary Report New   9000005597  A16652230  CR378 ,PZC-FJ-ServiceDesk
EE Jira  Unable to log in,SD_1stL_SD-UC_NSN_ENG_PH
Jabber SSO  Cisco Jabber is locked due to too many failed sign in attempts,SD_UC_CoCare_NSN_GL
user is requesting a eLearn pin reset,Service Desk - Non Sales
Double Confirmation of Stock GB11,PZC-FJ-ServiceDesk
Change of EMail Address ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Assign Roles to Gina Kivetou HQ000285,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
INC0373176  Reset Domain Password for NicholasChiarellootsukauscom,Service Desk - Non Sales
BUiltIn Camera Activation,SD_1stL_SD-UC_NSN_ENG_PH
TreatNow Eligibility SEQUILLA CARTER,Service Desk - Sales All
The conference page cannot be accessed ,SD_UC_CoCare_NSN_GL
GR  BW access 5100,G SNOW GR SERVICE DESK
Change in mailbox,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Requester role needed for Henry Klamas,I-Buy Process Support
add myself to email group OAPIEQCProductComplaintsotsukauscom,Service Desk - GAM
Unable to view internal CARES ticket,SD_1stL_SD-UC_NSN_ENG_PH
Service Monitoring Monitor Service Application Virtualization Client on AMRNDHW2698 Status unavailable errorunable to connect toserver,GBL-WTI-AHS WINTEL L1
NokiaMeetings   Unable to Join Meetings,SD_1stL_SD-UC_NSN_ENG_PH
Itunes app installed,Service Desk - Non Sales
HP PrintingOffice printer does not work,SD_1stL_SD-UC_NSN_ENG_PH
RP NSAUNIX Request20190819121316171,GBL-WTI-AHS UNIX L1
FW Sales Ops mailbox,Service Desk - Non Sales
CZ  missing G AW CZ Enrollment Users,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Inquiry into separation task for Genis R,Service Desk - Non Sales
user having issues resetting password Zscaler uninstall password ,Service Desk - Non Sales
New Employee Hire,Service Desk - Non Sales
Error message reauthenticate zscaler,Service Desk - Non Sales
request for printer,Service Desk - Non Sales
clean up device tree from obsolete LUNs,GBL-WTI-AHS UNIX L1
HCP territory add and treatNOW Eligibility ,Service Desk - Sales All
DP issue  Failures for AMER5b  BS amrgros035 GP 2100Start CT groamrcls31a,GBL-WTI-AHS WINTEL L1
PL  2FA issue,G SNOW PL SERVICE DESK
Form based requests do not work in production,I-Buy Process Support
Issue with FMLLogistics Poland,PZC-FJ-ServiceDesk
emaedcs079pfizercomMultiple copyenvdailysh PIDs Detected Escalate and Investigate Issues ASAPunixlogpfizerflasharchive PFEUnixFlashArchiveError Solaris Zone Host,GBL-WTI-AHS UNIX L1
Requester for Romania,I-Buy Process Support
can not access HVD,SD_1stL_SD-UC_NSN_ENG_PH
Port on a server is disabled,SD_1stL_SD-UC_NSN_ENG_PH
outlook was off screen,Service Desk - Non Sales
User needs send as privileges on the shared mailboxes,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
SCHUnable to Post Depreciation,PZC-FJ-ServiceDesk
FW Rebekah Davis  Meredith Bradley,Service Desk - GAM
User ramalc01 is having trouble with pbrun on amrndhl876 amrsoml106,GBL-WTI-AHS UNIX L1
amrdrms001pfizercom ProcessThe vxrelocd Process has Stopped  Escalate ASAP Solaris Zone Host,GBL-WTI-AHS UNIX L1
GRASP workflow error  June222020,Service Desk - Non Sales
Renew personal certificate,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Lost Connection to Network Drives,Service Desk - Non Sales
auvisf5103cpfizercom cpqClusterNode Intel,GBL-WTI-AHS WINTEL L1
Create Contact record,Service Desk - GAM
AD groups for user BS001272 ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Issue SO and POD,PZC-FJ-ServiceDesk
GR  Access on transactions  SAP Elhym,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
IE  SAP Access for IE191116 ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Access to IBP productive,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Grant access to user ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Readsoft not working,SD_UC_CoCare_NSN_GL
NEGATIVE FORECAST IN PZHPZCOM  OSS message 450844  2019 ,PZC-FJ-ServiceDesk
issue while connecting to HVD,SD_UC_CoCare_NSN_GL
CZ    DL creation,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Unableto delete stack,SD_1stL_SD-UC_NSN_ENG_PH
Red Team training  iPad home button,Service Desk - Non Sales
Microsoft Outlook receive error Cannot start Microsoft Office Outlook Cannot open the Outlook Window,Deskside Carnegie
GR  Removal of shipments from tour monitor,G SNOW GR SERVICE DESK
Workstation  Admin rights Issue,SD_1stL_SD-UC_NSN_ENG_PH
Creation of a support portal account for a Robot account to access TESTCLiCS,SD_1stL_SD-UC_NSN_ENG_PH
Please Reboot NDHAMRCLS34B at 10PM Est,GBL-WTI-AHS WINTEL L1
reset elearn specific password ,Service Desk - Non Sales
VPN  User asking which username and login pass should I use ,SD_1stL_SD-UC_NSN_ENG_PH
Reduce disk space for amrvegl001,GBL-WTI-AHS UNIX L1
add new role,G SNOW RU SERVICE DESK
Business role correction  RF123212 Anna Tuchkova,G SNOW RU SERVICE DESK
Unable to access Network drives,Deskside Carnegie
LV  Please grant access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
CCR Monitoring  Product not allowed for external procurement for GB22,PZC-FJ-ServiceDesk
PL  Removal from email group,G SNOW PL SERVICE DESK
AMRDRML126  sys drive low on SPACE  precheck for auto patching RFC 1366055 Aug 23,GBL-WTI-AHS UNIX L1
exchange two email address ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
usness5460pfizercom Down Intel VM Guest,GBL-WTI-AHS WINTEL L1
server issue unable to use git command,SD_UC_CoCare_NSN_GL
PZC31569 requires access to tcode ZGFSNPLOADA34936838000004726 ,PZC-FJ-ServiceDesk
Server Access Request  US70TWERP001zamalcatellucentcom ,SD_1stL_SD-UC_NSN_ENG_PH
When I try to open an Excel file the attached message appears and I cannot open it,Service Desk - Non Sales
DP Issue Failures for EMEA1  BS emaedcl151  CT istemacls02sql,GBL-WTI-AHS WINTEL L1
Unable to connect laptop to hotspot,Service Desk - Non Sales
GWC  P3  Unable to view configuration options in Qfiniti,SD_1stL_SD-UC_NSN_ENG_PH
GR  Unblock access to website,G SNOW GR SERVICE DESK
LDAP  authorization required on httpsusnavscdoc01usalcatellucentcomcgibinhandoffhandoffpl ,SD_1stL_SD-UC_NSN_ENG_PH
CARES permission issue,SD_UC_CoCare_NSN_GL
Not sample eligible with primary address provided,Service Desk - Sales All
Puurs  Planned Electrical Outage  RFC1400638,GBL-WTI-AHS WINTEL L1
User request assistance  Need Business Phone Number ChangedUpdated in Global Address List,Service Desk - GAM
IT Assign Query groups as suggested from INC0856262,G SNOW IT SERVICE DESK
CZ  CREATE XTEL ACCES for ANICKA JELINKOVA,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Please unlock user RF127984 in P17,G SNOW RU SERVICE DESK
TR portal is broken now and cant be logon to fill up TR,SD_UC_CoCare_NSN_GL
SOFTWARE FMO Win10  Image Installation,SD_1stL_SD-UC_NSN_ENG_PH
HCP keeps fall,Service Desk - Sales All
RP NSAUNIX Request20191015145004908,GBL-WTI-AHS UNIX L1
IpaaS Sync Issue,SD_1stL_SD-UC_NSN_ENG_PH
fNokia  CARES Remedy  unexpectedly exits,SD_1stL_SD-UC_NSN_ENG_PH
Help with changing password,Service Desk - Non Sales
Please provide access to Julia Rust  HQ990028 to corporatetreasurycchelleniccom mailbox,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Password reset admin ID,SD_UC_CoCare_NSN_GL
why the SAP contract alignment area is yellow for contract 1144043499,SD_1stL_SD-UC_NSN_ENG_PH
Credo account locked from INC0385174,Service Desk - Non Sales
Please create E1 account with name externalpresentercchelleniccom responsible person Spirospatsouriscchelleniccom,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Temporary reprovision of account,Service Desk - GAM
PL  maping network printer ,G SNOW PL SERVICE DESK
Intermittent performance issues all day,SD_1stL_SD-UC_NSN_ENG_PH
Laptop keeps losing network connection,Service Desk - Non Sales
SNOW groups members,G SNOW GR SERVICE DESK
Computer Bitlocker code needed,Service Desk - Non Sales
Login to Concur on iPadrestart iPad ,Service Desk - Non Sales
SAP Process chain failures  Group 2,PZC-FJ-ServiceDesk
Reset e learning password ASAP,Service Desk - Non Sales
Pls assign users in HPQC to all comercial projects,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
GR  Block sender  Ref INC0847053,G SNOW EXT ATOS IS MAILING ADMINS
Alliance application issue ASO P3767645 locked by alliance system  Urgent,SD_UC_CoCare_NSN_GL
RP NSAUNIX Request20190913142420834,GBL-WTI-AHS UNIX L1
SSL VPN certificate reissue  Austin Briggs,SD_UC_CoCare_NSN_GL
CARES Repository not populating,SD_1stL_SD-UC_NSN_ENG_PH
POLG04CCMyERM Boxi report is not working correctly in the recent days  Boxi team investigation,SD_1stL_SD-UC_NSN_ENG_PH
ERROR STATUS M03  Q20,SD_1stL_SD-UC_NSN_ENG_PH
amrsoml378pfizercom Down VM Guest,GBL-WTI-AHS UNIX L1
Password Reset Issues,Service Desk - Non Sales
Need Outlook and Skype in Phone,Deskside Carnegie
RP NSAUNIX Request20191216105510928,GBL-WTI-AHS UNIX L1
Hand and Eyes Monitoring request not available for user,SD_UC_CoCare_NSN_GL
vpn cisco connect is not connecting,SD_1stL_SD-UC_NSN_ENG_PH
NG  VPN Certificate validation failure,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
BSO  remove user from mailing groups,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
RE Sang Le  Request to ship office computer monitor to his home address,Service Desk - Non Sales
Need Veeva CRM Access to train a Interactive Visual Aid thru the Veeva Sandbox,Service Desk - Sales All
Request for seconf monitor and change mouse,Deskside Carnegie
restrictions preventing call,Service Desk - Sales All
NRA Cisco Anyconnect  Certificate Validation Failure,SD_1stL_SD-UC_NSN_ENG_PH
ASPSDCS020LDOM02FileSystem OverUtilized Guest LDOM,GBL-WTI-AHS UNIX L1
SLN is not updated ,Service Desk - Sales All
NG  Add ITCorperBenin NG000148 to Snow group  hs3,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
User cant open up Outlook,Service Desk - Non Sales
Remove Unix access for bhatts77,GBL-WTI-AHS UNIX L1
User needs two mailbox groups,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Delete the ShC  1003249648 from backend as SRM didnt assign any approver to it and the requester is unable to edit the shopping cart due to the followi,SD_UC_CoCare_NSN_GL
saplogon pad issue,SD_UC_CoCare_NSN_GL
Access to Shared Drive Folder,Deskside Carnegie
BI Rem  Phase 2 SLOB  summary subtota,PZC-FJ-ServiceDesk
Application Initialization error while installing Adobe Acrobat reader DC,Deskside Carnegie
Nokia Report Manager role for Uitto Paivi Nokia  FIEspoo paiviuittonokiacom,I-Buy Process Support
Business role correction  RF114410 Denis Gabov,G SNOW RU SERVICE DESK
Inquiry on how to easily see which accounts have emails,Service Desk - Sales All
Unable to clone any of the repositories,SD_1stL_SD-UC_NSN_ENG_PH
ERP IH08 transaction access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Cannot use my instances,SD_1stL_SD-UC_NSN_ENG_PH
it  Q02 access and HPQC Access,G SNOW IT SERVICE DESK
SNMPAgentrmsw4200pfizercom NotResponding Intel,GBL-WTI-AHS WINTEL L1
PR17245 and PR17379  payment term not found in Ibuy,I-Buy Process Support
FW GRASP  MAL Training,Service Desk - Non Sales
RP NSAUNIX Request20200121092108894,GBL-WTI-AHS UNIX L1
Add user to email group CCHCommercialCDECommunitycchelleniccom,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Assign Admin Role,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
PLCM is down,SD_UC_CoCare_NSN_GL
User is unable to log into Veeva checked AD account and no issues,Service Desk - Sales All
Not able to jump on the server AMRMTWL003,GBL-WTI-AHS UNIX L1
gitlabe2extnetnokiacom first time login You have to confirm email address before continuing,SD_1stL_SD-UC_NSN_ENG_PH
Assignment View not assigning Vendor to the module,SD_1stL_SD-UC_NSN_ENG_PH
Reset password for P13 to access Analysis for HQ000930,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
OLD Ipad wipe for personal use,Service Desk - Non Sales
 PR18156V2 error  Error Message  Material group 999998 not defined please check your input,I-Buy Process Support
Access to Service Desk HU mailbox for new Agent,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
issues inside citrix ,Service Desk - Non Sales
Assign access to CCHBCAllEmployeescchelleniccom,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Factory RA and PLCM servers connections intermittent at Sanmina Guadalajara,SD_UC_CoCare_NSN_GL
IT  Restore the role of THIRD APPROVER of XTEL for the user IT001808,G SNOW IT SERVICE DESK
Issues with One Drive and Accessing SharePoint,Service Desk - Non Sales
External Hard Drive,Service Desk - Non Sales
IE  block sender ,G SNOW EXT ATOS IS MAILING ADMINS
Support Portal  Unable to Log in,SD_1stL_SD-UC_NSN_ENG_PH
To change status for DP document pending,PZC-FJ-ServiceDesk
Red Team Training  Excel version,Service Desk - Non Sales
eLearn validation error,Service Desk - Non Sales
Firefox for Website Testing,Service Desk - Non Sales
GR  CTI  New Verint user creation ,G SNOW GR SERVICE DESK
You are kindly requested to reset BPC passwords for Eirini Chamilothori and Gabriela Chakarova,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
laptop charger issue ,Service Desk - Non Sales
BrunoCarranzaCW  account is already activated,Service Desk - Non Sales
fNokia  Hardware Laptop  track pad failure,SD_1stL_SD-UC_NSN_ENG_PH
